X;Y;OBJECTID;StopID;EasyGo;Street;CrossStreet;Easting;Northing;Longitude;Latitude;Municipality;Status;RMWID
545319.8364;4804480.6119;7249;10864;1831;Bechtel Dr;Doon Village Rd;545319.83641032;4804480.61186604;-80.44041696;43.39183204;Kitchener;Active;BS10864
544959.5095;4804272.1843;4241;10742;1710;Bechtel Dr;Sabrina Cres;544959.50950627;4804272.18429088;-80.44488299;43.38997703;Kitchener;Active;BS10742
544664.9102;4804176.9337;5949;10783;1751;Bechtel Dr;Sabrina Cres;544664.91022711;4804176.93367886;-80.44852803;43.38913698;Kitchener;Active;BS10783
544596.1234;4804241.4505;6182;10743;1711;Bechtel Dr;Wheatfield Cres;544596.12339399;4804241.45054664;-80.44937203;43.38972199;Kitchener;Active;BS10743
539409.743;4810352.5067;5359;11750;2695;Belmont Ave W;Adelaid St;539409.74295294;4810352.50665884;-80.51296499;43.44503696;Kitchener;Active;BS11750
539312.2688;4810651.3658;4413;11820;2764;Belmont Ave W;Gage Ave;539312.26882752;4810651.36582692;-80.51414801;43.44773303;Kitchener;Active;BS11820
539301.0297;4810636.8588;4687;11749;2694;Belmont Ave W;Gage Ave;539301.02974175;4810636.85877979;-80.51428796;43.447603;Kitchener;Active;BS11749
539062.5813;4811121.6455;4148;12954;3897;Belmont Ave W;Glasglow St;539062.58127456;4811121.64550165;-80.51720006;43.45198053;Kitchener;Active;BS12954
539181.7289;4810920.1511;4919;11821;2765;Belmont Ave W;Glasgow St;539181.72886647;4810920.15111646;-80.51574197;43.45016003;Kitchener;Active;BS11821
539092.6325;4811102.654;5421;11822;2766;Belmont Ave W;Glasgow St;539092.63251885;4811102.65396853;-80.51683001;43.45180796;Kitchener;Active;BS11822
539147.6441;4810947.7437;7352;11747;2692;Belmont Ave W;Glasgow St;539147.804;4810947.601;-80.516159;43.450409;Kitchener;Active;BS11747
539816.9722;4809798.0395;7026;11815;2759;Belmont Ave W;Highland Rd E;539816.97221935;4809798.03951903;-80.50797299;43.44002296;Kitchener;Active;BS11815
539785.3329;4809811.7367;4974;11754;2699;Belmont Ave W;Highland Rd W;539785.33291478;4809811.736731;-80.50836295;43.44014797;Kitchener;Active;BS11754
539416.3644;4810368.6534;5133;11819;2763;Belmont Ave W;Karn St;539416.36436592;4810368.65337223;-80.51288199;43.445182;Kitchener;Active;BS11819
539692.5012;4809922.1443;6849;11753;2698;Belmont Ave W;Metzloff Dr;539692.5011997;4809922.14425786;-80.50950203;43.44114702;Kitchener;Active;BS11753
539722.4336;4809909.8768;7184;11816;2760;Belmont Ave W;Metzloff Dr;539722.4336145;4809909.87675488;-80.50913304;43.44103497;Kitchener;Active;BS11816
538911.2734;4811445.1243;6121;11744;2689;Belmont Ave W;Union Blvd;538911.2734194;4811445.12425969;-80.51904703;43.45490103;Kitchener;Active;BS11744
538925.0808;4811458.9557;7613;14027;1958;Belmont Ave W;Union Blvd;538925.0808;4811458.9557;-80.51887539;43.45502485;Kitchener;Active;BS14027
539488.433;4810152.8373;3859;11751;2696;Belmont Ave W;Victoria St S;539488.43304506;4810152.83730096;-80.512007;43.44323498;Kitchener;Active;BS11751
539492.6467;4810180.0718;6200;11818;2762;Belmont Ave W;Victoria St S;539492.6466715;4810180.07175747;-80.51195296;43.44347998;Kitchener;Active;BS11818
535980.8298;4817254.1105;7597;14006;2354;Benjamin Rd;40 Benjamin Rd;535980.8298;4817254.1105;-80.55488309;43.50735209;Woolwich;Active;BS14006
541398.9467;4810757.5518;5655;10094;1089;Benton St;Charles St E;541398.9467;4810757.458;-80.488354;43.448576;Kitchener;Active;BS10094
541397.2992;4810709.5812;7030;13796;1377;Benton St;Charles St E;541397.458;4810709.581;-80.488374;43.448145;Kitchener;Active;BS13796
541280.9343;4810563.2815;7672;14092;2410;Benton St;St George St;541280.9343;4810563.2815;-80.48982529;43.44683396;Kitchener;Active;BS14092
541268.9286;4810570.2095;8459;14914;2713;Benton St;St George St;541268.9286;4810570.2095;-80.48997314;43.44689701;Kitchener;Active;BS14914
556387.516;4801983.029;6411;11145;2098;Beverly St;200 Beverly St;556387.43;4801982.97;-80.304027;43.368593;Cambridge;Active;BS11145
556348.1095;4801934.8555;7977;14413;4150;Beverly St;202 Beverly St;556348.1095;4801934.8555;-80.3045172;43.36816318;Cambridge;Active;BS14413
556183.5;4801629.3;8377;14762;1603;Beverly St;Dundas St S;556183.5;4801629.3;-80.3065801;43.36542434;Cambridge;Active;BS14822
556214.1;4801633.3;8378;14763;1608;Beverly St;Dundas St S;556214.1;4801633.3;-80.30620205;43.36545806;Cambridge;Active;BS14823
555940.187;4801245.8503;6291;10636;1606;Beverly St;Kerr St;555940.18701324;4801245.85029241;-80.30962202;43.36198997;Cambridge;Active;BS10636
555944.2847;4801272.5579;7981;14415;4152;Beverly St;Kerr St;555944.2847;4801272.5579;-80.30956873;43.36223014;Cambridge;Active;BS14415
556481.2864;4802170.4206;7958;14397;4134;Beverly St;Samuelson St;556481.2864;4802170.4206;-80.30284927;43.37027416;Cambridge;Active;BS14397
544095.2378;4804937.9588;5369;10844;1811;Biehn Dr;53 Biehn Dr;544095.23782807;4804937.9587744;-80.45550004;43.396023;Kitchener;Active;BS10844
544106.7325;4804877.731;5318;10868;1835;Biehn Dr;Carlyle Dr;544106.73253502;4804877.73103359;-80.45536296;43.39548003;Kitchener;Active;BS10868
544092.2034;4804757.6855;6031;10845;1812;Biehn Dr;Carlyle Dr;544092.20335737;4804757.68546851;-80.45555204;43.39439999;Kitchener;Active;BS10845
544282.0273;4813242.1309;4170;13527;3457;Bingemans Centre Dr;400 Bingemans Centre Dr;544282.0273;4813242.1309;-80.45251999;43.47078272;Kitchener;Active;BS13527
544307.6657;4813268.4411;7298;13526;3419;Bingemans Centre Dr;400 Bingemans Centre Dr;544307.6657;4813268.4411;-80.45220089;43.4710181;Kitchener;Active;BS13526
544579.0552;4813338.8936;6478;13528;3458;Bingemans Centre Dr;Bingemans;544578.914;4813338.533;-80.448842;43.471633;Kitchener;Active;BS13528
545025.4866;4813567.4913;4292;13139;3145;Bingemans Centre Dr;Shirley Dr;545025.654;4813567.423;-80.443374;43.473667;Kitchener;Active;BS13139
545182.3022;4813418.1319;4059;13532;3431;Bingemans Centre Dr;Victoria St N;545182.305;4813418.104;-80.441375;43.472313;Kitchener;Active;BS13532
544536.316;4813346.5256;4897;13529;3420;Bingmans Centre Dr;425 Bingemans Centre Dr;544536.316;4813346.526;-80.449368;43.471708;Kitchener;Active;BS13529
544826.4904;4813485.4827;5324;13530;3421;Bingmans Centre Dr;540 Bingemans Centre Dr;544826.47;4813485.392;-80.445577;43.472941;Kitchener;Active;BS13530
544850.7724;4813473.2298;6904;13531;3459;Bingmans Centre Dr;540 Bingemans Centre Dr;544850.651;4813473.342;-80.455471;43.472831;Kitchener;Active;BS13531
